SUPV,Grupo Supervielle S.A.,16.94,$1.26B,2016,Finance,Commercial Banks,http://www.nasdaq.com/symbol/supv
AXDX,"Accelerate Diagnostics, Inc.",22.875,$1.26B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",23.75,$1.26B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hasi
GTT,"GTT Communications, Inc.",30.5,$1.26B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/gtt
GKOS,Glaukos Corporation,36.72,$1.26B,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/gkos
VONG,Vanguard Russell 1000 Growth ETF,125.49,$1.26B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vong
NWLI,"National Western Life Group, Inc.",347.45,$1.26B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/nwli
AVP,"Avon Products, Inc.",2.89,$1.27B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/avp
PLYA,Playa Hotels & Resorts N.V.,11.52,$1.27B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/plya
EEQ,Enbridge Energy Management LLC,14.51,$1.27B,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eeq
BPFH,"Boston Private Financial Holdings, Inc.",15.05,$1.27B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh
MNTA,"Momenta Pharmaceuticals, Inc.",16.65,$1.27B,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta
PTY,Pimco Corporate & Income Opportunity Fund,16.84,$1.27B,2002,n/a,n/a,http://www.nasdaq.com/symbol/pty
GOLF,Acushnet Holdings Corp.,17.08,$1.27B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
VSTO,Vista Outdoor Inc.,22.34,$1.27B,2015,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/vsto
